Block,Size,Plot,Species,Ab-1,Ab-2,Ab-3
7,2,4,Monarda_fistulosa,74,38,25
7,2,4,Oenothera_biennis,6,6,5
7,2,4,Oxalis_stricta,6,0,0
7,2,4,Solidago_canadensis,173,125,124
7,2,4,Solidago_nemoralis,11,11,5
7,2,4,Stellaria_media,11,0,0
7,2,4,Symphyotrichum_novae-angliae,19,9,9
7,2,4,Taraxacum_officinale,4,0,0
7,2,4,Veronica_arvensis,12,0,0
8,0.5,1,Bromus_inermis,1,1,0
8,0.5,1,Calystegia_sepium,6,6,1
8,0.5,1,Desmodium_illinoense,2,2,2
8,0.5,1,Festuca_rubra,60,45,0
8,0.5,1,Monarda_fistulosa,86,86,86
8,0.5,1,Solidago_canadensis,36,34,13
8,0.5,3,Asclepias_syriaca,1,1,0
8,0.5,3,Daucus_carota,1,1,0
8,0.5,3,Festuca_rubra,30,30,30
8,0.5,3,Monarda_fistulosa,66,66,41
8,0.5,3,Solidago_canadensis,39,39,31
8,0.5,3,Solidago_rigida,1,1,1
8,2,2,Asclepias_syriaca,2,2,2
8,2,2,Bromus_inermis,32,0,0
8,2,2,Coreopsis_tripteris,15,15,15
8,2,2,Elymus_repens,16,16,16
8,2,2,Euthamia_graminifolia,1,1,0
8,2,2,Festuca_rubra,720,720,720
8,2,2,Monarda_fistulosa,3,0,0
8,2,2,Ratibida_pinnata,5,5,4
8,2,2,Solidago_canadensis,126,126,117
8,2,2,Solidago_nemoralis,16,16,6
8,2,2,Symphyotrichum_novae-angliae,10,9,9
8,2,2,Taraxacum_officinale,4,0,0
8,2,4,Bromus_inermis,32,0,0
8,2,4,Coreopsis_tripteris,24,24,23
8,2,4,Elymus_repens,64,64,64
8,2,4,Festuca_rubra,480,480,480
8,2,4,Monarda_fistulosa,5,5,5
8,2,4,Ratibida_pinnata,20,20,20
8,2,4,Solidago_canadensis,149,149,144
8,2,4,Solidago_nemoralis,16,7,0
8,2,4,Solidago_rigida,4,2,1
8,2,4,Symphyotrichum_ericoides,7,7,7
8,2,4,Symphyotrichum_novae-angliae,14,14,14
8,2,4,Taraxacum_officinale,1,0,0
9,0.5,1,Festuca_rubra,90,15,15
9,0.5,1,Ratibida_pinnata,76,76,76
9,0.5,3,Festuca_rubra,30,30,0
9,0.5,3,Monarda_fistulosa,35,18,11
9,0.5,3,Solidago_canadensis,32,32,17
9,0.5,3,Symphyotrichum_novae-angliae,25,22,21
9,2,2,Asclepias_tuberosa,1,1,1
9,2,2,Coreopsis_tripteris,1,1,1
9,2,2,Dactylis_glomerata,8,8,0
9,2,2,Desmodium_illinoense,2,2,2
9,2,2,Elymus_repens,16,16,16
9,2,2,Festuca_rubra,960,960,960
9,2,2,Solidago_canadensis,157,156,129
9,2,2,Solidago_nemoralis,11,11,0
9,2,4,Coreopsis_tripteris,2,2,2
9,2,4,Dactylis_glomerata,5,0,0
9,2,4,Festuca_rubra,960,480,480
9,2,4,Solidago_canadensis,242,165,165
9,2,4,Solidago_nemoralis,112,112,0
9,2,4,Symphyotrichum_ericoides,5,5,5
10,0.5,1,Bromus_inermis,1,1,0
10,0.5,1,Daucus_carota,2,2,0
10,0.5,1,Festuca_rubra,75,30,6
10,0.5,1,Plantago_lanceolata,1,1,0
10,0.5,1,Solidago_canadensis,71,71,56
10,0.5,1,Solidago_nemoralis,44,0,0
10,0.5,3,Bromus_inermis,2,2,0
10,0.5,3,Daucus_carota,3,3,2
10,0.5,3,Elymus_repens,1,1,1
10,0.5,3,Festuca_rubra,120,30,15
10,0.5,3,Linaria_vulgaris,3,0,0
10,0.5,3,Monarda_fistulosa,1,1,0
10,0.5,3,Solidago_canadensis,30,30,27
10,0.5,3,Solidago_rigida,3,3,3
10,0.5,3,Tragopogon_dubius,2,2,0
10,2,2,Asclepias_tuberosa,2,2,2
10,2,2,Bromus_inermis,160,8,0
10,2,2,Daucus_carota,2,2,2
10,2,2,Desmodium_illinoense,4,4,3
10,2,2,Elymus_repens,320,320,320
10,2,2,Festuca_rubra,960,960,240
10,2,2,Linaria_vulgaris,4,0,0
10,2,2,Monarda_fistulosa,5,5,1
10,2,2,Ratibida_pinnata,24,8,8
10,2,2,Solidago_canadensis,97,97,97
10,2,2,Solidago_nemoralis,33,33,0
10,2,4,Asclepias_syriaca,2,1,1
10,2,4,Bromus_inermis,16,0,0
10,2,4,Coreopsis_tripteris,4,3,2
10,2,4,Daucus_carota,2,2,2
10,2,4,Desmodium_illinoense,6,6,6
10,2,4,Elymus_repens,16,16,16
10,2,4,Festuca_rubra,960,240,0
10,2,4,Linaria_vulgaris,4,4,4
10,2,4,Medicago_lupulina,1,1,0
10,2,4,Ratibida_pinnata,26,26,24
10,2,4,Solidago_canadensis,97,97,76
10,2,4,Solidago_nemoralis,14,12,0
10,2,4,Solidago_rigida,12,12,12
10,2,4,Symphyotrichum_ericoides,1,1,0
11,0.5,1,Calystegia_sepium,7,7,0
11,0.5,1,Daucus_carota,4,4,4
11,0.5,1,Festuca_rubra,15,15,0
11,0.5,1,Monarda_fistulosa,16,9,9
11,0.5,1,Solidago_canadensis,60,60,43
11,0.5,1,Solidago_nemoralis,2,2,2
11,0.5,3,Calystegia_sepium,10,3,0
11,0.5,3,Coreopsis_tripteris,73,73,73
11,0.5,3,Daucus_carota,4,4,4
11,0.5,3,Festuca_rubra,30,6,0
11,0.5,3,Medicago_lupulina,1,0,0
11,0.5,3,Solidago_canadensis,12,12,5
11,0.5,3,Solidago_nemoralis,16,0,0
11,2,2,Asclepias_tuberosa,2,2,1
11,2,2,Bromus_inermis,8,0,0
11,2,2,Calystegia_sepium,27,27,27
11,2,2,Coreopsis_tripteris,29,29,29
11,2,2,Daucus_carota,2,2,2
11,2,2,Desmodium_illinoense,22,22,22
11,2,2,Elymus_repens,32,32,16
11,2,2,Festuca_rubra,960,720,96
11,2,2,Hypericum_perforatum,4,4,1
11,2,2,Medicago_lupulina,2,2,0
11,2,2,Monarda_fistulosa,2,0,0
11,2,2,Oenothera_biennis,32,21,7
11,2,2,Panicum_capillare,800,800,800
11,2,2,Ratibida_pinnata,12,12,0
11,2,2,Solidago_canadensis,82,82,77
11,2,2,Solidago_nemoralis,16,6,0
11,2,4,Bromus_inermis,8,0,0
11,2,4,Calystegia_sepium,7,2,2
11,2,4,Euthamia_graminifolia,2,0,0
11,2,4,Festuca_rubra,960,240,48
11,2,4,Monarda_fistulosa,68,49,49
11,2,4,Solidago_canadensis,111,111,33
11,2,4,Solidago_nemoralis,41,41,0
11,2,4,Solidago_rigida,24,24,24
11,2,4,Symphyotrichum_novae-angliae,2,1,0
12,0.5,1,Asclepias_syriaca,1,0,0
12,0.5,1,Bromus_inermis,15,5,0
12,0.5,1,Calystegia_sepium,6,6,6
12,0.5,1,Daucus_carota,3,3,3
12,0.5,1,Festuca_rubra,15,9,0
12,0.5,1,Solidago_canadensis,52,52,39
12,0.5,1,Solidago_nemoralis,3,0,0
12,0.5,1,Symphyotrichum_novae-angliae,7,7,7
12,0.5,3,Asclepias_syriaca,2,2,2
12,0.5,3,Bromus_inermis,1,0,0
12,0.5,3,Coreopsis_tripteris,9,8,8
12,0.5,3,Daucus_carota,5,5,5
12,0.5,3,Festuca_rubra,150,45,0
12,0.5,3,Monarda_fistulosa,2,2,2
12,0.5,3,Solidago_canadensis,21,21,21
12,0.5,3,Solidago_nemoralis,12,0,0
12,2,2,Barbarea_vulgaris,1,0,0
12,2,2,Boehmeria_cylindrica,1,1,0
12,2,2,Bromus_inermis,32,0,0
12,2,2,Cirsium_arvense,1,0,0
12,2,2,Coreopsis_tripteris,5,3,3
12,2,2,Daucus_carota,15,8,8
12,2,2,Desmodium_illinoense,6,6,6
12,2,2,Dianthus_armeria,3,3,0
12,2,2,Epilobium_coloratum,1,0,0
12,2,2,Erigeron_annuus,2,2,0
12,2,2,Euthamia_graminifolia,13,1,0
12,2,2,Festuca_rubra,960,24,0
12,2,2,Hypericum_perforatum,24,11,3
12,2,2,Linaria_vulgaris,7,5,0
12,2,2,Medicago_lupulina,1,0,0
12,2,2,Monarda_fistulosa,9,9,5
12,2,2,Panicum_capillare,160,160,160
12,2,2,Plantago_lanceolata,1,0,0
12,2,2,Ratibida_pinnata,19,19,13
12,2,2,Solidago_canadensis,135,135,97
12,2,2,Solidago_nemoralis,34,12,0
12,2,2,Solidago_rigida,3,3,3
12,2,2,Symphyotrichum_ericoides,72,72,27
12,2,2,Symphyotrichum_novae-angliae,12,10,4
12,2,2,Taraxacum_officinale,2,0,0
12,2,2,Verbascum_thapsus,2,2,1
12,2,2,Verbena_stricta,3,1,0
12,2,2,Veronica_arvensis,5,0,0
12,2,4,Asclepias_syriaca,3,3,3
12,2,4,Bromus_inermis,104,8,0
12,2,4,Coreopsis_tripteris,17,17,17
12,2,4,Daucus_carota,7,7,3
12,2,4,Elymus_repens,160,160,160
12,2,4,Erigeron_annuus,1,1,1
12,2,4,Festuca_rubra,960,720,96
12,2,4,Medicago_lupulina,2,2,0
12,2,4,Monarda_fistulosa,2,0,0
12,2,4,Ratibida_pinnata,7,7,7
12,2,4,Solidago_canadensis,102,94,86
12,2,4,Solidago_nemoralis,16,11,0
12,2,4,Solidago_rigida,4,1,0
12,2,4,Symphyotrichum_ericoides,2,2,2
12,2,4,Symphyotrichum_novae-angliae,43,43,26
12,2,4,Taraxacum_officinale,2,2,2
12,2,4,Veronica_arvensis,1,0,0
13,0.5,1,Asclepias_syriaca,2,2,0
13,0.5,1,Bromus_inermis,3,3,0
13,0.5,1,Daucus_carota,2,2,0
13,0.5,1,Elymus_repens,1,1,1
13,0.5,1,Festuca_rubra,120,30,0
13,0.5,1,Monarda_fistulosa,94,94,94
13,0.5,3,Asclepias_syriaca,1,1,1
13,0.5,3,Bromus_inermis,10,1,0
13,0.5,3,Daucus_carota,4,3,3
13,0.5,3,Festuca_rubra,120,45,6
13,0.5,3,Linaria_vulgaris,1,1,0
13,0.5,3,Monarda_fistulosa,33,33,33
13,0.5,3,Potentilla_recta,1,0,0
13,0.5,3,Solidago_canadensis,8,8,8
13,0.5,3,Solidago_rigida,1,1,0
13,0.5,3,Symphyotrichum_novae-angliae,7,7,4
13,0.5,3,Thin_grass,2,0,0
13,0.5,3,Verbascum_thapsus,1,1,0
13,2,2,Bromus_inermis,80,8,0
13,2,2,Daucus_carota,5,2,2
13,2,2,Elymus_repens,160,160,32
13,2,2,Festuca_rubra,960,240,0
13,2,2,Linaria_vulgaris,2,0,0
13,2,2,Monarda_fistulosa,80,69,37
13,2,2,Panicum_capillare,32,32,16
13,2,2,Ratibida_pinnata,35,35,5
13,2,2,Rudbekia_hirta,13,13,0
13,2,2,Solidago_canadensis,101,101,101
13,2,2,Solidago_nemoralis,14,0,0
13,2,2,Solidago_rigida,2,1,0
13,2,2,Symphyotrichum_ericoides,1,1,0
13,2,2,Symphyotrichum_novae-angliae,9,9,6
13,2,2,Taraxacum_officinale,1,1,1
13,2,2,Verbascum_thapsus,4,0,0
13,2,2,Verbena_stricta,1,0,0
13,2,4,Asclepias_tuberosa,2,2,2
13,2,4,Bromus_inermis,80,0,0
13,2,4,Coreopsis_tripteris,1,0,0
13,2,4,Daucus_carota,13,11,11
13,2,4,Desmodium_illinoense,2,2,0
13,2,4,Festuca_rubra,960,0,0
13,2,4,Hypericum_perforatum,5,2,2
13,2,4,Linaria_vulgaris,1,1,1
13,2,4,Monarda_fistulosa,27,23,9
13,2,4,Oenothera_biennis,1,1,1
13,2,4,Panicum_capillare,960,960,960
13,2,4,Ratibida_pinnata,65,65,46
13,2,4,Rudbekia_hirta,9,9,7
13,2,4,Solidago_canadensis,76,76,76
13,2,4,Solidago_nemoralis,30,0,0
13,2,4,Solidago_rigida,1,1,1
13,2,4,Sonchus_oleraceous,1,0,0
13,2,4,Symphyotrichum_novae-angliae,7,7,7
13,2,4,Taraxacum_officinale,1,0,0
13,2,4,Verbena_stricta,2,1,0
13,2,4,Veronica_arvensis,3,0,0
14,0.5,1,Asclepias_syriaca,1,1,1
14,0.5,1,Bromus_inermis,50,3,0
14,0.5,1,Daucus_carota,21,3,2
14,0.5,1,Desmodium_illinoense,4,4,4
14,0.5,1,Elymus_repens,20,20,20
14,0.5,1,Festuca_rubra,15,15,0
14,0.5,1,Linaria_vulgaris,1,1,0
14,0.5,1,Monarda_fistulosa,76,76,39
14,0.5,1,Panicum_capillare,10,10,10
14,0.5,1,Veronica_arvensis,1,1,1
14,0.5,3,Bromus_inermis,30,20,0
14,0.5,3,Elymus_repens,20,20,20
14,0.5,3,Festuca_rubra,120,120,0
14,0.5,3,Monarda_fistulosa,3,3,2
14,0.5,3,Solidago_canadensis,5,2,2
14,2,2,Bromus_inermis,240,80,0
14,2,2,Coreopsis_lanceolata,7,7,0
14,2,2,Daucus_carota,2,2,2
14,2,2,Desmodium_illinoense,23,23,22
14,2,2,Elymus_repens,480,480,320
14,2,2,Festuca_rubra,960,720,0
14,2,2,Monarda_fistulosa,95,95,74
14,2,2,Potentilla_recta,2,0,0
14,2,2,Solidago_canadensis,67,38,27
14,2,2,Solidago_nemoralis,3,0,0
14,2,2,Symphyotrichum_novae-angliae,5,0,0
14,2,4,Bromus_inermis,160,8,0
14,2,4,Daucus_carota,11,4,0
14,2,4,Desmodium_illinoense,3,3,2
14,2,4,Elymus_repens,480,480,480
14,2,4,Erigeron_annuus,1,1,1
14,2,4,Festuca_rubra,720,24,0
14,2,4,Hieracium_caespitosum,2,0,0
14,2,4,Hypericum_perforatum,6,0,0
14,2,4,Linaria_vulgaris,2,0,0
14,2,4,Medicago_lupulina,2,0,0
14,2,4,Monarda_fistulosa,69,66,28
14,2,4,Panicum_capillare,1,1,1
14,2,4,Ratibida_pinnata,2,0,0
14,2,4,Rudbekia_hirta,1,1,0
14,2,4,Solidago_canadensis,74,57,24
14,2,4,Solidago_rigida,2,0,0
14,2,4,Symphyotrichum_ericoides,2,2,0
14,2,4,Symphyotrichum_novae-angliae,26,26,13
